Candidate,party,district,totalCandVotes,totalvotes
Jeffrey N Spiegelman,republican, 11,5104,7827
Paul A Thornburg,democrat, 11,2723,7827
Charlotte Middleton,republican, 28,2438,7614
William J Carson Jr,democrat, 28,5176,7614
Robin R Hayes,republican, 29,4090,9675
William Bush,democrat, 29,5585,9675
Charles Groce,democrat, 30,2513,7128
W Shannon Morris,republican, 30,4615,7128
David Levi Anderson,republican, 31,2464,7139
Sean M Lynn,democrat, 31,4675,7139
Andria Bennett,democrat, 32,3510,5630
Cheryl Precourt,republican, 32,2120,5630
Charles S Postles Jr,republican, 33,5001,8265
James Todd Webb,democrat, 33,3264,8265
Adewunmi Kuforiji,democrat, 34,3825,9419
Lyndon D Yearick,republican, 34,5476,9419
William Mcvay,libertarian, 34,118,9419
Nnamdi O Chukwuocha,democrat, 1,7640,7640
Erin L Wienner,republican, 10,2938,9386
Sean Matthews,democrat, 10,6448,9386
Deborah D Hudson,republican, 12,5898,12589
Krista Griffith,democrat, 12,6691,12589
John L Mitchell Jr,democrat, 13,5528,5528
Amy Merlino,libertarian, 15,1011,8340
Valerie Longhurst,democrat, 15,7329,8340
Albert John Ament,republican, 16,987,6752
Franklin D Cooke Jr,democrat, 16,5765,6752
Melissa Minor-Brown,democrat, 17,6107,6107
David S Bentz,democrat, 18,5876,5876
James R Startzman Jr,republican, 19,2535,7426
Kimberly Williams,democrat, 19,4891,7426
Stephanie T Bolden,democrat, 2,4693,4693
Michael Ramone,republican, 21,5114,9819
Stephanie Barry,democrat, 21,4705,9819
Guillermina Gonzalez,democrat, 22,5815,11770
Michael F Smith,republican, 22,5955,11770
Paul S Baumbach,democrat, 23,5786,5786
Edward Osienski,democrat, 24,4989,7194
William W Dilks Sr,republican, 24,2205,7194
Bryan K Rash,republican, 25,2189,6216
John A Kowalko Jr,democrat, 25,4027,6216
John Viola,democrat, 26,5417,7331
Justin Cruice,republican, 26,1914,7331
Earl G Jaques Jr,democrat, 27,7123,8347
William Hinds,libertarian, 27,1224,8347
Sherry Dorsey Walker,democrat, 3,4434,4434
Gerald L Brady,democrat, 4,8512,8512
Kendra Johnson,democrat, 5,6824,6824
Debra Heffernan,democrat, 6,7073,10827
Jeffrey L Olmstead,republican, 6,3754,10827
Eric Braunstein,republican, 7,3348,9445
Raymond Seigfried,democrat, 7,5943,9445
Scott Gesty,libertarian, 7,154,9445
Cody Mcnutt,libertarian, 8,118,9316
Daniel Zitofsky,republican, 8,3334,9316
S Quinton Johnson,democrat, 8,5864,9316
Kevin S Hensley,republican, 9,6961,11860
Monique Johns,democrat, 9,4899,11860
James L Demartino,republican, 14,5125,13655
Peter C Schwartzkopf,democrat, 14,8530,13655
Harry R Smouse Jr,libertarian, 20,134,14602
John D Bucchioni,democrat, 20,6281,14602
Stephen T Smyk,republican, 20,8187,14602
Jesse R Vanderwende,republican, 35,5648,5648
Bryan W Shupe,republican, 36,5244,8092
Donald M Allan Jr,democrat, 36,2848,8092
Ruth Briggs King,republican, 37,6853,6853
Meghan M Kelly,democrat, 38,5019,14654
Ronald E Gray,republican, 38,9635,14654
Daniel B Short,republican, 39,5452,5452
Timothy D Dukes,republican, 40,5848,5848
Richard G Collins,republican, 41,2988,4772
S Bradley Connor,democrat, 41,1784,4772